,Registration_date,Longitude,Latitude,Annual_underground_extraction_m3,Entitlement,Permited_use,Municipality_name,Year
163,1996-05-16,-99.20883333333333,19.488055555555558,3700.0,"CIGARROS LA TABACALERA MEXICANA, S.DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1996
164,2012-05-15,-99.19305555555556,19.470277777777778,70064.0,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,INDUSTRIAL,MIGUEL HIDALGO,2012
165,1995-03-09,-99.10583333333332,19.473888888888887,12399.0,"ACEITES Y JABONES, S.A. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1995
166,1995-11-06,-99.20833333333334,19.45,893706.0,COLGATE PALMOLIVE S.A. DE C.V.,INDUSTRIAL,MIGUEL HIDALGO,1995
167,1995-11-06,-99.20833333333334,19.450277777777778,893706.0,COLGATE PALMOLIVE S.A. DE C.V.,INDUSTRIAL,MIGUEL HIDALGO,1995
168,1995-11-06,-99.20861111111111,19.45,893706.0,COLGATE PALMOLIVE S.A. DE C.V.,INDUSTRIAL,MIGUEL HIDALGO,1995
169,2009-04-13,-99.12833333333333,19.309722222222224,400000.0,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SERVICIOS,COYOACÁN,2009
170,2012-03-22,-99.20472222222223,19.442222222222224,287000.0,"INMUEBLES GENERAL, S.A DE C.V.",SERVICIOS,MIGUEL HIDALGO,2012
171,1995-11-15,-99.10833333333333,19.475555555555555,30000.0,"PROCTER & GAMBLE, MANUFACTURA S. DE R.L. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1995
172,2013-04-30,-99.20166666666667,19.440833333333334,40000.0,"BAYER DE MÉXICO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,2013
173,1997-06-14,-99.20138888888889,19.440277777777776,582400.0,"LEVADURA AZTECA, S. A. DE C. V.",INDUSTRIAL,MIGUEL HIDALGO,1997
174,1997-06-14,-99.20111111111112,19.440277777777776,582400.0,"LEVADURA AZTECA, S. A. DE C. V.",INDUSTRIAL,MIGUEL HIDALGO,1997
175,1997-06-14,-99.20166666666667,19.440555555555555,582400.0,"LEVADURA AZTECA, S. A. DE C. V.",INDUSTRIAL,MIGUEL HIDALGO,1997
176,2000-08-02,-99.14444444444445,19.46472222222222,3500.0,I. M. S. S. CENTRO MEDICO NACIONAL LA RAZA(CENTRAL DE SERVICIOS),SERVICIOS,AZCAPOTZALCO,2000
177,2007-06-11,-99.14127777777779,19.456083333333332,30000.0,"LEVADURA AZTECA, S. A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,2007
178,2007-06-11,-99.14161111111112,19.455305555555555,30000.0,"LEVADURA AZTECA, S. A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,2007
179,1999-10-18,-99.18194444444445,19.330555555555556,2984659.0,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,SERVICIOS,COYOACÁN,1999
180,1999-10-18,-99.1913888888889,19.325,2984659.0,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,SERVICIOS,COYOACÁN,1999
181,1999-10-18,-99.19472222222223,19.313055555555557,2984659.0,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,SERVICIOS,COYOACÁN,1999
182,1998-01-20,-99.15305555555557,19.40694444444444,411.5,"ASOCIACION FRANCO MEXICANA SUIZA Y BELGA DE BENEFICIENCIA, I. A. P./PANTEON FRANCES",SERVICIOS,CUAUHTÉMOC,1998
183,1996-05-06,-99.10833333333333,19.475555555555555,383467.0,"PROCTER & GAMBLE MANUFACTURA, S. DE R.L. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1996
184,1996-05-06,-99.11055555555555,19.47583333333333,383467.0,"PROCTER & GAMBLE MANUFACTURA, S. DE R.L. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1996
185,1997-06-03,-99.20138888888889,19.34722222222222,411.0,"INMUEBLES E INVERSIONES, S. A.",SERVICIOS,ÁLVARO OBREGÓN,1997
186,1996-06-20,-99.11749999999999,19.355555555555558,22487.0,"UNIVERSIDAD TECNOLOGICA DE MEXICO, S. C.",SERVICIOS,IZTAPALAPA,1996
187,1994-06-23,-99.13666666666667,19.39527777777778,134200.0,MANUEL MUÑOS MUÑOS /BAÑOS RIVIERA,INDUSTRIAL,COYOACÁN,1994
188,1994-06-23,-99.18722222222223,19.374444444444446,134200.0,MANUEL MUÑOS MUÑOS /BAÑOS RIVIERA,INDUSTRIAL,COYOACÁN,1994
189,1997-02-07,-99.15277777777779,19.448611111111113,1126.0,MANUEL SIEIRO CASTRO/BAÑOS CHOPO,SERVICIOS,IZTACALCO,1997
190,1998-08-25,-99.12472222222222,19.45722222222222,2800.0,MARIA DE LA PAZ GARCIA POSADA,SERVICIOS,IZTACALCO,1998
191,1998-12-23,-99.11388888888888,19.45,64260.0,JUAN XOLALPA JIMENEZ,SERVICIOS,VENUSTIANO CARRANZA,1998
192,1999-08-30,-99.18944444444445,19.472777777777775,145000.0,"PLUS GRUPO INMOBILIARIO, S. A.DE C. V.",INDUSTRIAL,AZCAPOTZALCO,1999
193,1995-09-07,-99.20555555555556,19.4375,12528.0,"EL DUERO, S.A. DE C.V.",INDUSTRIAL,TLÁHUAC,1995
194,1996-04-23,-99.07666666666667,19.40361111111111,9102.0,"INMOBILIARIA INDUSTRIMEX, S. A. DE C.V.",INDUSTRIAL,IZTACALCO,1996
195,1996-10-24,-99.14583333333334,19.39638888888889,3000.0,SECRETARIA DE COMUNICACIONES Y TRANSPORTES,SERVICIOS,COYOACÁN,1996
196,1995-05-31,-99.14333333333335,19.346944444444443,45780.0,"CLUB CAMPESTRE DE LA CIUDAD DE MEXICO, S. A. DE C. V.",SERVICIOS,COYOACÁN,1995
197,1995-05-31,-99.1438888888889,19.346666666666664,45780.0,"CLUB CAMPESTRE DE LA CIUDAD DE MEXICO, S. A. DE C. V.",SERVICIOS,COYOACÁN,1995
198,1996-06-28,-99.17194444444445,19.302500000000002,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
199,1996-06-28,-99.14152777777778,19.279,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
200,1996-06-28,-99.19522222222223,19.296472222222224,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
201,1996-06-28,-99.19547222222222,19.29427777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
202,1996-06-28,-99.20636111111111,19.305027777777777,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
203,1996-06-28,-99.23127777777778,19.303166666666666,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
204,1996-06-28,-99.17822222222223,19.303583333333336,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
205,1996-06-28,-99.1901388888889,19.302611111111112,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
206,1996-06-28,-99.19336111111112,19.302555555555557,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
207,1996-06-28,-99.21308333333333,19.307166666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,ÁLVARO OBREGÓN,1996
208,1996-06-28,-99.16980555555556,19.312305555555557,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
209,1996-06-28,-99.16277777777778,19.330305555555555,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
210,1996-06-28,-99.16130555555556,19.29077777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
211,1996-06-28,-99.15941666666667,19.27211111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
212,1996-06-28,-99.12505555555555,19.296916666666668,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
213,1996-06-28,-99.10805555555555,19.296055555555558,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
214,1996-06-28,-99.12405555555554,19.306694444444446,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
215,1996-06-28,-99.11972222222222,19.314194444444446,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
216,1996-06-28,-99.17433333333334,19.281888888888886,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
217,1996-06-28,-99.11794444444443,19.221277777777775,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,XOCHIMILCO,1996
218,1996-06-28,-99.1185,19.218444444444444,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,XOCHIMILCO,1996
219,1996-06-28,-99.22200000000001,19.310305555555555,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
220,1996-06-28,-99.22361111111111,19.30638888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
221,1996-06-28,-99.21775,19.308111111111113,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
222,1996-06-28,-99.22113888888889,19.315527777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,LA MAGDALENA CONTRERAS,1996
223,1996-06-28,-99.21061111111112,19.302222222222223,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
224,1996-06-28,-99.21925,19.30063888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
225,1996-06-28,-99.17141666666667,19.308972222222224,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
226,1996-06-28,-99.1701388888889,19.27133333333333,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
227,1996-06-28,-99.12388888888889,19.34,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
228,1996-06-28,-99.18925,19.338388888888886,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
229,1996-06-28,-99.17375,19.27213888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
230,1996-06-28,-99.16122222222222,19.283833333333334,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
231,1996-06-28,-99.16308333333333,19.281166666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
232,1996-06-28,-99.15994444444445,19.32488888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
233,1996-06-28,-99.10111111111111,19.294722222222223,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLÁHUAC,1996
234,1996-06-28,-99.14686111111112,19.28516666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
235,1996-06-28,-99.1493888888889,19.288027777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
236,1996-06-28,-99.1526388888889,19.29188888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
237,1996-06-28,-99.15586111111112,19.296277777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
238,1996-06-28,-99.00219444444444,19.24416666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLÁHUAC,1996
239,1996-06-28,-99.1,19.30125,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
240,1996-06-28,-99.09694444444445,19.312250000000002,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
241,1996-06-28,-99.14491666666667,19.284055555555558,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
242,1996-06-28,-99.00525,19.247972222222224,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLÁHUAC,1996
243,1996-06-28,-99.00755555555556,19.248944444444444,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLÁHUAC,1996
244,1996-06-28,-99.12402777777777,19.285861111111114,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
245,1996-06-28,-99.01308333333333,19.250833333333333,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,XOCHIMILCO,1996
246,1996-06-28,-99.01736111111111,19.252111111111113,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,XOCHIMILCO,1996
247,1996-06-28,-99.14800000000001,19.29266666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
248,1996-06-28,-99.14647222222223,19.295833333333334,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
249,1996-06-28,-99.14516666666667,19.301944444444445,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
250,1996-06-28,-99.15744444444445,19.299277777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
251,1996-06-28,-99.16202777777778,19.30138888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
252,1996-06-28,-99.165,19.308611111111112,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
253,1996-06-28,-99.09027777777777,19.301666666666666,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,XOCHIMILCO,1996
254,1996-06-28,-99.06919444444443,19.285111111111114,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
255,1996-06-28,-99.09027777777777,19.301666666666666,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,XOCHIMILCO,1996
256,1996-06-28,-99.08111111111111,19.296944444444446,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
257,1996-06-28,-99.08391666666667,19.300444444444445,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
258,1996-06-28,-99.0886111111111,19.30611111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
259,1996-06-28,-99.09086111111111,19.30888888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
260,1996-06-28,-99.09305555555555,19.311111111111114,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
261,1996-06-28,-99.13722222222223,19.28638888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
262,1996-06-28,-99.12433333333333,19.31888888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
263,1996-06-28,-99.07583333333334,19.335833333333333,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
264,1996-06-28,-99.14027777777778,19.332472222222222,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
265,1996-06-28,-99.13527777777779,19.33175,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
266,1996-06-28,-99.13791666666667,19.328388888888888,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
267,1996-06-28,-99.1366388888889,19.33013888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
268,1996-06-28,-99.13394444444445,19.330027777777776,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
269,1996-06-28,-99.17444444444445,19.364500000000003,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,BENITO JUÁREZ,1996
270,1996-06-28,-99.15805555555556,19.307222222222222,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
271,1996-06-28,-99.14916666666667,19.357222222222223,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
272,1996-06-28,-99.13158333333332,19.328666666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
273,1996-06-28,-99.13436111111112,19.325416666666666,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
274,1996-06-28,-99.02027777777778,19.377222222222223,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
275,1996-06-28,-99.08494444444445,19.379194444444444,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTACALCO,1996
276,1996-06-28,-99.11166666666666,19.35875,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
277,1996-06-28,-99.08055555555555,19.31277777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
278,1996-06-28,-98.97722222222222,19.334166666666665,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
279,1996-06-28,-99.11994444444444,19.346527777777776,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
280,1996-06-28,-99.08111111111111,19.381666666666668,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
281,1996-06-28,-99.13058333333332,19.32275,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
282,1996-06-28,-99.11333333333333,19.337777777777777,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
283,1996-06-28,-99.15,19.28805555555556,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLÁHUAC,1996
284,1996-06-28,-99.18,19.3075,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
285,1996-06-28,-99.07333333333332,19.32111111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
286,1996-06-28,-99.1111111111111,19.445555555555554,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,VENUSTIANO CARRANZA,1996
287,1996-06-28,-99.12583333333333,19.322777777777777,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
288,1996-06-28,-99.065,19.331944444444446,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
289,1996-06-28,-99.15861111111111,19.320194444444443,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
290,1996-06-28,-99.13361111111112,19.365555555555556,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
291,1996-06-28,-99.13361111111112,19.35611111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
292,1996-06-28,-99.12394444444443,19.32361111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
293,1996-06-28,-99.07944444444443,19.459444444444443,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,GUSTAVO A. MADERO,1996
294,1996-06-28,-99.16444444444446,19.317777777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
295,1996-06-28,-99.16444444444446,19.317777777777778,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
296,1996-06-28,-99.1568888888889,19.45047222222222,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,CUAUHTÉMOC,1996
297,1996-06-28,-99.19611111111111,19.375944444444446,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,ÁLVARO OBREGÓN,1996
298,1996-06-28,-99.14094444444446,19.40586111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,CUAUHTÉMOC,1996
299,1996-06-28,-99.19930555555555,19.34797222222222,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,ÁLVARO OBREGÓN,1996
300,1996-06-28,-99.17991666666667,19.342444444444443,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
301,1996-06-28,-99.18711111111112,19.383444444444443,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,BENITO JUÁREZ,1996
302,1996-06-28,-99.16711111111111,19.357111111111113,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,ÁLVARO OBREGÓN,1996
303,1996-06-28,-99.11008333333332,19.411944444444444,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,VENUSTIANO CARRANZA,1996
304,1996-06-28,-99.10127777777777,19.41036111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,VENUSTIANO CARRANZA,1996
305,1996-06-28,-99.16580555555556,19.276833333333332,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
306,1996-06-28,-99.19286111111111,19.366444444444447,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,ÁLVARO OBREGÓN,1996
307,1996-06-28,-99.20166666666667,19.434416666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,MIGUEL HIDALGO,1996
308,1996-06-28,-99.09133333333332,19.402055555555553,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTACALCO,1996
309,1996-06-28,-99.182,19.465416666666666,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,AZCAPOTZALCO,1996
310,1996-06-28,-99.09438888888889,19.326583333333332,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
311,1996-06-28,-99.18544444444444,19.336555555555556,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
312,1996-06-28,-99.11530555555555,19.399527777777777,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTACALCO,1996
313,1996-06-28,-99.18825000000001,19.433666666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,MIGUEL HIDALGO,1996
314,1996-06-28,-99.14002777777779,19.338083333333334,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
315,1996-06-28,-99.13149999999999,19.33513888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
316,1996-06-28,-99.16908333333333,19.278805555555554,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
317,1996-06-28,-99.13675,19.361500000000003,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
318,1996-06-28,-99.12758333333332,19.35563888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,COYOACÁN,1996
319,1996-06-28,-99.10425,19.36616666666667,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
320,1996-06-28,-99.18311111111112,19.291472222222225,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,TLALPAN,1996
321,1996-06-28,-99.18916666666667,19.41638888888889,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,MIGUEL HIDALGO,1996
322,1996-06-28,-99.18411111111112,19.34386111111111,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,ÁLVARO OBREGÓN,1996
323,1996-06-28,-99.20772222222223,19.444027777777777,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,MIGUEL HIDALGO,1996
324,1996-06-28,-99.09227777777777,19.359944444444444,780516000.0,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,IZTAPALAPA,1996
