,Registration_date,Longitude,Latitude,Annual_underground_extraction_m3,Entitlement,Permited_use,Municipality_name,Year
37,1996-05-16,-99.16944477777778,19.502780694444443,1165880.0,"PROCTER & GAMBLE MANUFACTURING MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1996
38,1996-05-16,-99.16972219444445,19.502781,1165880.0,"PROCTER & GAMBLE MANUFACTURING MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1996
39,1996-05-16,-99.16888905555557,19.50416975,1165880.0,"PROCTER & GAMBLE MANUFACTURING MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1996
40,1996-09-19,-99.13861144444445,19.45583625,7000.0,LA SUIZA SA DE CV,INDUSTRIAL,CUAUHTÉMOC,1996
41,1996-05-17,-99.14444455555557,19.42055852777778,29864.0,"SERVICIO PAN AMERICANO DE PROTECCION, S.A. DE C.V.",SERVICIOS,CUAUHTÉMOC,1996
42,1996-08-14,-99.1422223888889,19.28777902777778,59262.0,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,SERVICIOS,TLALPAN,1996
43,1996-08-14,-99.13500016666667,19.283058722222222,59262.0,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,SERVICIOS,TLALPAN,1996
44,1997-03-12,-99.15202827777779,19.494197361111112,68.0,"INMOBILIARIA FAUSTO SUAREZ, S.A. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1997
45,1999-06-28,-99.18305555555555,19.443891055555557,20000.0,"FANTASIAS MIGUEL, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1999
46,2002-05-10,-99.16083361111112,19.483614,290000.0,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,2002
47,2004-04-02,-99.10238927777777,19.478058333333333,90000.0,"FABRICA DE HIELO LA SIBERIA, S.A. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,2004
48,2004-04-02,-99.17444497222223,19.460554972222223,130000.0,"FABRICA DE HIELO LA MODERNA, S. A. DE C .V.",INDUSTRIAL,AZCAPOTZALCO,2004
49,2004-07-23,-99.16194425,19.498892027777778,100000.0,EXTRACTOS Y MALTAS SA DE CV,INDUSTRIAL,AZCAPOTZALCO,2004
50,2008-02-26,-99.16444480555556,19.49527813888889,50000.0,"WYETH, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,2008
51,2008-07-28,-99.12250033333332,19.38750322222222,206759.0,"BEBIDAS PURIFICADAS, S. DE R.L. DE C.V.",INDUSTRIAL,IZTACALCO,2008
52,2013-04-30,-99.21744477777779,19.33764175,18000.0,"MEXOPORO, S.C.",INDUSTRIAL,ÁLVARO OBREGÓN,2013
53,1995-07-07,-99.18008383333334,19.50669702777778,1535968.0,"EMPAQUES MODERNOS SAN PABLO, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1995
54,1999-12-27,-99.18138888888889,19.490000000000002,21000.0,ANTONIO NOVOA GARCIA,INDUSTRIAL,AZCAPOTZALCO,1999
55,2013-04-30,-99.158004,19.49453788888889,10400.0,"CIA. SHERWIN WILLIAMS, S.A. DE C,V.",INDUSTRIAL,AZCAPOTZALCO,2013
56,1996-11-21,-99.15944444444445,19.458055555555553,1112.0,"MOLINO DE TRIGO LA ESPERANZA, S. A.",INDUSTRIAL,IZTACALCO,1996
57,1999-09-13,-99.18333333333334,19.335555555555555,8432.0,AUTOFINANCIAMIENTO MÉXICO S.A. DE C.V.,SERVICIOS,BENITO JUÁREZ,1999
58,1997-06-03,-99.10249999999999,19.433888888888887,151200.0,"PRODUCTOS PUENTE, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1997
59,1997-06-03,-99.10277777777777,19.433611111111112,151200.0,"PRODUCTOS PUENTE, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1997
